Dataset,Suffix,Column,aal,hispanic,white,other
dg,wme,txt_wme,0.1930897505500633,0.2984257005176073,0.4750893598538679,0.0329723560974889
dg,aal,txt_aal,0.3864590433281848,0.23632709914048422,0.3377740753371365,0.03943978219419444
rb,orig,txt_prompt_orig,0.11634579665699295,0.19778506714110344,0.558671325411485,0.12665521719302297
rb,orig,txt_chos_orig,0.05985394350098385,0.11818593411552406,0.659210849671456,0.15840852393287158
rb,orig,txt_rej_orig,0.06404711485741588,0.12770099350744651,0.6769624390214541,0.1296616718214968
rb,vpAAL,txt_prompt_vpAAL,0.14611471241739032,0.19425489591186904,0.5007725467793505,0.1583152512939946
rb,vpAAL,txt_chos_vpAAL,0.09649529325297167,0.12019424537978514,0.5907768185565044,0.18819289403157433
rb,vpAAL,txt_rej_vpAAL,0.10471759876175633,0.12753886608409667,0.6023273766099885,0.16378837775197186
